filename;id;type;MER;centre;width;length;centre_w;theta;color;hole_1_centre;hole_1_d_1;hole_1_d_2;hole_2_centre;hole_2_d_1;hole_2_d_2
TESI50.BMP;0;B;[(122, 222), (99, 195), (193, 120), (215, 147)];(160, 168);35.61;119.94;8.6;52.61;#B39DDB;(120, 198);27.31;21.17;(192, 144);30.9;23.62
TESI50.BMP;1;A;[(85, 191), (53, 154), (176, 48), (209, 86)];(126, 129);49.6;162.48;9.43;53.73;#A7FFEB;(88, 157);29.22;22.44;[];0.0;0.0
TESI50.BMP;2;A;[(56, 216), (16, 198), (90, 32), (131, 50)];(76, 113);44.32;182.16;7.81;26.53;#F8BBD0;(100, 66);28.47;22.26;[];0.0;0.0
TESI51.BMP;0;B;[(127, 201), (115, 164), (221, 130), (233, 166)];(178, 163);38.3;111.63;8.94;73.73;#A7FFEB;(133, 176);27.67;20.8;(214, 154);30.76;23.22
TESI51.BMP;1;A;[(34, 160), (12, 113), (150, 49), (172, 96)];(85, 113);52.26;152.66;9.85;69.8;#F8BBD0;(43, 128);29.31;21.86;[];0.0;0.0
TESI51.BMP;2;A;[(99, 203), (65, 169), (181, 52), (215, 86)];(135, 138);48.08;164.76;9.85;49.12;#FB8C00;(99, 169);29.32;22.63;[];0.0;0.0
