filename;id;type;MER;centre;width;length;centre_w;theta;color;hole_1_centre;hole_1_d_1;hole_1_d_2;hole_2_centre;hole_2_d_1;hole_2_d_2
TESI90.BMP;0;B;[(106, 208), (30, 105), (57, 85), (133, 187)];(81, 143);33.78;128.01;7.81;142.09;#7E57C2;(114, 185);27.39;21.11;(54, 110);30.74;23.4
TESI90.BMP;1;A;[(198, 197), (86, 71), (122, 39), (234, 165)];(156, 109);47.85;168.07;10.2;134.74;#CDDC39;(121, 75);28.55;22.89;[];0.0;0.0
TESI92.BMP;0;A;[(79, 203), (79, 149), (226, 149), (226, 203)];(162, 172);54.0;147.0;10.77;95.57;#CDDC39;(206, 176);28.93;21.96;[];0.0;0.0
TESI92.BMP;1;B;[(133, 131), (131, 92), (240, 85), (243, 124)];(191, 110);38.37;109.86;9.22;83.65;#F8BBD0;(146, 114);27.36;20.63;(228, 106);30.21;22.92
TESI92.BMP;2;A;[(37, 182), (-1, 160), (84, 4), (124, 25)];(58, 104);44.85;178.62;8.06;31.21;#FF8A65;(31, 149);29.11;21.65;[];0.0;0.0
TESI98.BMP;0;B;[(114, 174), (15, 111), (35, 79), (134, 142)];(77, 130);37.03;116.97;8.54;120.73;#CDDC39;(110, 150);31.04;24.18;(34, 106);27.02;20.51
TESI98.BMP;1;A;[(162, 223), (122, 205), (199, 41), (239, 59)];(183, 121);44.11;181.23;8.06;27.85;#FB8C00;(208, 74);28.53;21.77;[];0.0;0.0
