filename;id;type;MER;centre;width;length;centre_w;theta;color;hole_1_centre;hole_1_d_1;hole_1_d_2;hole_2_centre;hole_2_d_1;hole_2_d_2
TESI44.BMP;0;A;[(215, 240), (72, 128), (107, 83), (250, 196)];(168, 172);56.54;182.08;10.82;124.28;#FF8A65;(212, 201);32.03;24.07;[];0.0;0.0
TESI47.BMP;0;B;[(134, 227), (19, 167), (38, 129), (153, 189)];(84, 175);42.85;129.38;10.3;115.51;#FF3D00;(133, 198);30.55;23.96;(44, 157);33.87;26.38
TESI47.BMP;1;A;[(206, 242), (83, 94), (125, 59), (247, 208)];(170, 163);53.45;192.34;10.3;137.83;#CDDC39;(208, 203);32.12;24.16;[];0.0;0.0
TESI48.BMP;0;B;[(135, 225), (19, 167), (38, 129), (154, 187)];(84, 175);42.49;129.24;10.3;115.43;#B39DDB;(133, 198);30.6;24.05;(44, 157);33.64;26.42
TESI48.BMP;1;A;[(205, 251), (82, 103), (123, 69), (246, 217)];(169, 172);53.51;192.19;9.9;138.07;#FB8C00;(208, 212);31.86;24.1;[];0.0;0.0
TESI49.BMP;0;B;[(135, 224), (19, 169), (38, 130), (154, 185)];(84, 174);42.73;128.43;10.3;112.58;#A7FFEB;(134, 195);30.89;23.83;(44, 157);33.97;25.71
